neighborhood,x2010_density,x2010_diversity_index,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_density,x2020_diversity_index,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,x2010_vap,x2010_vap_hisp,x2010_vap_white_non_hisp,x2010_vap_black_non_hisp,x2010_vap_aian_non_hisp,x2010_vap_asian_non_hisp,x2010_vap_nhpi_non_hisp,x2010_vap_other_non_hisp,x2010_vap_two_plus_non_hisp,x2010_u18,x2010_u18_hisp,x2010_u18_white_non_hisp,x2010_u18_black_non_hisp,x2010_u18_aian_non_hisp,x2010_u18_asian_non_hisp,x2010_u18_nhpi_non_hisp,x2010_u18_other_non_hisp,x2010_u18_two_plus_non_hisp,x2010_hu,x2010_hu_occupied,x2010_hu_vacant,x2010_vacancy_rate,x2020_vap,x2020_vap_hisp,x2020_vap_white_non_hisp,x2020_vap_black_non_hisp,x2020_vap_aian_non_hisp,x2020_vap_asian_non_hisp,x2020_vap_nhpi_non_hisp,x2020_vap_other_non_hisp,x2020_vap_two_plus_non_hisp,x2020_u18,x2020_u18_hisp,x2020_u18_white_non_hisp,x2020_u18_black_non_hisp,x2020_u18_aian_non_hisp,x2020_u18_asian_non_hisp,x2020_u18_nhpi_non_hisp,x2020_u18_other_non_hisp,x2020_u18_two_plus_non_hisp,x2020_hu,x2020_hu_occupied,x2020_hu_vacant,x2020_vacancy_rate,change_density,change_diversity_index,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,change_vap,change_vap_hisp,change_vap_white_non_hisp,change_vap_black_non_hisp,change_vap_aian_non_hisp,change_vap_asian_non_hisp,change_vap_nhpi_non_hisp,change_vap_other_non_hisp,change_vap_two_plus_non_hisp,change_u18,change_u18_hisp,change_u18_white_non_hisp,change_u18_black_non_hisp,change_u18_aian_non_hisp,change_u18_asian_non_hisp,change_u18_nhpi_non_hisp,change_u18_other_non_hisp,change_u18_two_plus_non_hisp,change_hu,change_hu_occupied,change_hu_vacant,change_vacancy_rate,change_share_total_density,change_share_total_diversity_index,change_share_total_pop_hisp,change_share_total_pop_white_non_hisp,change_share_total_pop_black_non_hisp,change_share_total_pop_aian_non_hisp,change_share_total_pop_asian_non_hisp,change_share_total_pop_nhpi_non_hisp,change_share_total_pop_other_non_hisp,change_share_total_pop_two_plus_non_hisp,change_share_total_vap_hisp,change_share_total_vap_white_non_hisp,change_share_total_vap_black_non_hisp,change_share_total_vap_aian_non_hisp,change_share_total_vap_asian_non_hisp,change_share_total_vap_nhpi_non_hisp,change_share_total_vap_other_non_hisp,change_share_total_vap_two_plus_non_hisp,change_share_total_u18,change_share_total_u18_hisp,change_share_total_u18_white_non_hisp,change_share_total_u18_black_non_hisp,change_share_total_u18_aian_non_hisp,change_share_total_u18_asian_non_hisp,change_share_total_u18_nhpi_non_hisp,change_share_total_u18_other_non_hisp,change_share_total_u18_two_plus_non_hisp,change_share_total_hu,change_share_total_hu_occupied,change_share_total_hu_vacant,change_share_total_vacancy_rate,x2020_pop_hisp_perc,x2020_pop_white_non_hisp_perc,x2020_pop_black_non_hisp_perc,x2010_pop_hisp_perc,x2010_pop_white_non_hisp_perc,X2010_pop_black_non_hisp_perc,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed
Beechfield,9814,24,3698,81,349,3176,7,30,0,0,54,10475,35,3940,155,423,3144,0,91,0,25,102,2740,53,324,2290,6,29,0,0,39,957,29,25,886,1,1,0,0,15,1550,1436,115,8,3020,97,349,2407,0,68,0,21,78,920,57,73,738,0,23,0,4,24,1706,1581,125,7,6.74,45.83,6.54,91.36,21.2,-1.01,-100,203.33,NA,Inf,88.89,10.22,83.02,7.72,5.11,-100,134.48,NA,Inf,100,-3.87,96.55,192,-16.7,-100,2200,NA,Inf,60,10.06,10.1,8.7,-12.5,17.87,0.3,2,2,-0.87,-0.19,1.65,0,0.68,1.3,1.61,0.91,4.27,-0.22,1.42,0,0.77,1.42,-3.87,2.93,5.02,-15.46,-0.1,2.3,0,0.42,0.94,4.22,3.92,0.27,-0.03,3.93,10.74,79.8,2.19,9.44,85.88,Majority Black,Majority Black,No
Belair-Edison,48393,49,13248,147,979,11835,24,106,0,12,145,41593,53,11660,244,562,10437,26,44,3,45,299,9739,102,888,8548,18,86,0,7,91,3508,46,91,3287,6,20,0,4,54,5406,4872,534,29,8913,153,500,7958,26,39,3,34,201,2746,91,62,2479,0,5,0,11,98,5213,4589,624,37,-14.05,8.16,-11.99,65.99,-42.59,-11.81,8.33,-58.49,Inf,275,106.21,-8.48,50,-43.69,-6.9,44.44,-54.65,Inf,385.71,120.88,-21.72,97.83,-31.87,-24.58,-100,-75,NA,175,81.48,-3.57,-5.81,16.85,27.59,-51.33,0.03,0.73,-3.15,-10.55,0.02,-0.47,0.02,0.25,1.16,0.52,-3.98,-6.06,0.08,-0.48,0.03,0.28,1.13,-21.72,1.28,-0.83,-23.03,-0.17,-0.43,0,0.2,1.25,-1.46,-2.14,0.68,0.06,2.09,4.82,89.51,1.11,7.39,89.33,Majority Black,Majority Black,No
Belair-Parkside,401,5,148,3,64,73,0,2,0,0,5,374,5,138,7,57,64,0,2,0,0,7,112,3,55,51,0,1,0,0,3,36,1,9,22,0,0,0,0,3,62,56,7,1,109,5,49,49,0,2,0,0,4,29,2,8,15,0,0,0,0,3,59,53,6,1,-6.73,0,-6.76,133.33,-10.94,-12.33,NA,0,NA,NA,40,-2.68,66.67,-10.91,-3.92,NA,100,NA,NA,33.33,-19.44,100,-11.11,-31.82,NA,NA,NA,NA,0,-4.84,-5.36,-14.29,0,-18.24,0,2.7,-4.73,-6.08,0,0,0,0,1.35,1.79,-5.36,-1.79,0,0.89,0,0,0.89,-19.44,2.78,-2.78,-19.44,0,0,0,0,0,-2.03,-2.03,-0.68,0,5.07,41.3,46.38,2.03,43.24,49.32,Majority Minority,Majority Minority,No
Bellona-Gittings,513,4,713,18,580,74,2,24,0,2,14,515,5,715,32,540,80,1,26,0,4,32,542,12,444,60,2,18,0,1,6,171,6,136,14,0,6,0,1,8,288,272,16,1,549,21,417,69,1,22,0,3,17,166,11,123,11,0,4,0,1,15,282,267,14,1,0.39,25,0.28,77.78,-6.9,8.11,-50,8.33,NA,100,128.57,1.29,75,-6.08,15,-50,22.22,NA,200,183.33,-2.92,83.33,-9.56,-21.43,NA,-33.33,NA,0,87.5,-2.08,-1.84,-12.5,0,0.28,0.14,1.96,-5.61,0.84,-0.14,0.28,0,0.28,2.52,1.66,-4.98,1.66,-0.18,0.74,0,0.37,2.03,-2.92,2.92,-7.6,-1.75,0,-1.17,0,0,4.09,-0.84,-0.7,-0.28,0,4.48,75.52,11.19,2.52,81.35,10.38,Majority White,Majority White,No
Belvedere,2210,6,1065,17,115,904,4,7,0,1,17,2037,7,982,18,105,806,1,11,0,3,39,818,12,100,686,4,5,0,1,11,247,5,15,218,0,2,0,0,6,475,423,52,2,785,12,90,643,0,11,0,3,26,197,5,15,162,0,0,0,0,13,467,415,52,2,-7.83,16.67,-7.79,5.88,-8.7,-10.84,-75,57.14,NA,200,129.41,-4.03,0,-10,-6.27,-100,120,NA,200,136.36,-20.24,0,0,-25.69,NA,-100,NA,NA,116.67,-1.68,-1.89,0,0,-16.24,0.09,0.09,-0.94,-9.2,-0.28,0.38,0,0.19,2.07,0,-1.22,-5.26,-0.49,0.73,0,0.24,1.83,-20.24,0,0,-22.67,0,-0.81,0,0,2.83,-0.75,-0.75,0,0,1.83,10.69,82.08,1.6,10.8,84.88,Majority Black,Majority Black,No
Berea,22269,11,3657,40,26,3536,8,10,0,3,34,17994,34,2956,132,69,2644,10,6,1,12,81,2782,29,24,2693,5,7,0,1,22,875,11,2,843,2,2,0,2,12,1723,1375,349,36,2299,87,57,2075,10,6,1,9,54,657,46,12,569,1,0,0,3,27,1511,1199,312,36,-19.2,209.09,-19.17,230,165.38,-25.23,25,-40,Inf,300,138.24,-17.36,200,137.5,-22.95,100,-14.29,Inf,800,145.45,-24.91,318.18,500,-32.5,-50,-100,NA,50,125,-12.3,-12.8,-10.6,0,-116.9,0.63,2.52,1.18,-24.39,0.05,-0.11,0.03,0.25,1.29,2.08,1.19,-22.21,0.18,-0.04,0.04,0.29,1.15,-24.91,4,1.14,-31.31,-0.11,-0.23,0,0.11,1.71,-5.8,-4.81,-1.01,0,4.47,2.33,89.45,1.09,0.71,96.69,Majority Black,Majority Black,No
Better Waverly,15258,39,2646,66,251,2258,11,16,0,2,42,14082,63,2399,174,274,1800,7,43,0,17,84,1985,47,231,1657,11,15,0,0,24,661,18,20,601,0,1,0,2,18,1270,1056,214,25,1825,112,237,1369,6,28,0,12,61,574,61,37,431,1,15,0,5,23,1186,1015,171,21,-7.71,61.54,-9.33,163.64,9.16,-20.28,-36.36,168.75,NA,750,100,-8.06,138.3,2.6,-17.38,-45.45,86.67,NA,Inf,154.17,-13.16,238.89,85,-28.29,Inf,1400,NA,150,27.78,-6.61,-3.88,-20.09,-16,-44.44,0.91,4.08,0.87,-17.31,-0.15,1.02,0,0.57,1.59,3.27,0.3,-14.51,-0.25,0.65,0,0.6,1.86,-13.16,6.51,2.57,-25.72,0.15,2.12,0,0.45,0.76,-3.17,-1.55,-1.63,-0.15,7.25,11.42,75.03,2.49,9.49,85.34,Majority Black,Majority Black,No
Beverly Hills,1435,16,523,15,255,229,2,5,0,1,14,1272,17,464,20,208,199,1,5,0,3,27,407,10,215,169,1,5,0,1,7,116,5,40,60,1,1,0,1,7,223,202,20,3,373,16,180,152,1,4,0,2,18,91,5,28,48,0,1,0,1,9,207,184,22,3,-11.36,6.25,-11.28,33.33,-18.43,-13.1,-50,0,NA,200,92.86,-8.35,60,-16.28,-10.06,0,-20,NA,100,157.14,-21.55,0,-30,-20,-100,0,NA,0,28.57,-7.17,-8.91,10,0,-31.17,0.19,0.96,-8.99,-5.74,-0.19,0,0,0.38,2.49,1.47,-8.6,-4.18,0,-0.25,0,0.25,2.7,-21.55,0,-10.34,-10.34,-0.86,0,0,0,1.72,-3.06,-3.44,0.38,0,4.31,44.83,42.89,2.87,48.76,43.79,Majority Minority,Majority Minority,No
Biddle Street,15906,6,2052,25,20,1980,4,5,0,1,17,12414,17,1643,79,38,1469,7,4,0,5,42,1548,19,17,1493,3,4,0,0,11,504,6,3,487,1,1,0,0,6,966,757,209,20,1266,54,30,1143,7,3,0,4,26,377,25,9,326,0,0,0,1,16,831,657,174,19,-21.95,183.33,-19.93,216,90,-25.81,75,-20,NA,400,147.06,-18.22,184.21,76.47,-23.44,133.33,-25,NA,Inf,136.36,-25.2,316.67,200,-33.06,-100,-100,NA,Inf,166.67,-13.98,-13.21,-16.75,-5,-170.18,0.54,2.63,0.88,-24.9,0.15,-0.05,0,0.19,1.22,2.26,0.84,-22.61,0.26,-0.06,0,0.26,0.97,-25.2,3.77,1.19,-31.94,-0.2,-0.2,0,0.2,1.98,-6.58,-4.87,-1.71,-0.05,4.81,2.31,89.41,1.22,0.97,96.49,Majority Black,Majority Black,No
Blythewood,1487,5,705,31,575,59,1,22,0,0,16,1330,10,630,56,310,57,0,174,0,1,32,644,28,529,52,1,21,0,0,13,60,2,47,7,0,1,0,0,2,86,76,10,2,589,55,281,49,0,174,0,1,29,42,1,29,8,0,0,0,0,3,74,66,8,2,-10.56,100,-10.64,80.65,-46.09,-3.39,-100,690.91,NA,Inf,100,-8.54,96.43,-46.88,-5.77,-100,728.57,NA,Inf,123.08,-30,-50,-38.3,14.29,NA,-100,NA,NA,50,-13.95,-13.16,-20,0,-22.27,0.71,3.55,-37.59,-0.28,-0.14,21.56,0,0.14,2.27,4.19,-38.51,-0.47,-0.16,23.76,0,0.16,2.48,-30,-1.67,-30,1.67,0,-1.67,0,0,1.67,-1.7,-1.42,-0.28,0,8.89,49.21,9.05,4.4,81.56,8.37,Majority Minority,Majority White,Yes
Bolton Hill,23666,62,5105,166,2719,1685,9,361,2,18,146,23722,69,5138,314,2371,1570,4,597,0,35,247,4687,141,2565,1505,8,341,2,12,113,418,25,154,180,1,20,0,6,33,2959,2643,316,12,4714,269,2183,1448,3,576,0,27,207,424,45,188,121,1,21,0,7,40,3059,2569,490,17,0.24,11.29,0.65,89.16,-12.8,-6.82,-55.56,65.37,-100,94.44,69.18,0.58,90.78,-14.89,-3.79,-62.5,68.91,-100,125,83.19,1.44,80,22.08,-32.78,0,5,NA,16.67,21.21,3.38,-2.8,55.06,41.67,1.1,0.14,2.9,-6.82,-2.25,-0.1,4.62,-0.04,0.33,1.98,2.73,-8.15,-1.22,-0.11,5.01,-0.04,0.32,2.01,1.44,4.78,8.13,-14.11,0,0.24,0,0.24,1.67,1.96,-1.45,3.41,0.1,6.11,46.15,30.56,3.25,53.26,33.01,Majority Minority,Majority White,Yes
Boyd-Booth,5671,12,608,12,107,463,1,11,0,1,12,3421,13,371,16,44,285,2,3,0,3,18,425,6,86,319,1,9,0,0,5,183,6,21,144,0,3,0,0,8,324,197,127,13,275,11,37,210,1,2,0,2,12,96,5,7,75,0,2,0,1,6,217,138,79,12,-39.68,8.33,-38.98,33.33,-58.88,-38.44,100,-72.73,NA,200,50,-35.29,83.33,-56.98,-34.17,0,-77.78,NA,Inf,140,-47.54,-16.67,-66.67,-47.92,NA,-33.33,NA,Inf,-25,-33.02,-29.95,-37.8,-7.69,-370.07,0.16,0.66,-10.36,-29.28,0.16,-1.32,0,0.33,0.99,1.18,-11.53,-25.65,0,-1.65,0,0.47,1.65,-47.54,-0.55,-7.65,-37.7,0,-0.55,0,0.55,-1.09,-17.6,-9.7,-7.89,-0.16,4.31,11.86,76.82,1.97,17.6,76.15,Majority Black,Majority Black,No
Brewers Hill,5176,14,1103,110,885,44,12,34,0,2,16,7299,17,1556,132,1164,81,6,101,0,5,67,994,86,821,33,9,32,0,2,12,109,24,64,11,3,2,0,0,4,596,533,63,4,1409,104,1084,64,5,95,0,5,52,146,28,80,17,1,6,0,0,15,922,831,91,4,41.02,21.43,41.07,20,31.53,84.09,-50,197.06,NA,150,318.75,41.75,20.93,32.03,93.94,-44.44,196.88,NA,150,333.33,33.94,16.67,25,54.55,-66.67,200,NA,NA,275,54.7,55.91,44.44,0,192.48,0.27,1.99,25.29,3.35,-0.54,6.07,0,0.27,4.62,1.81,26.46,3.12,-0.4,6.34,0,0.3,4.02,33.94,3.67,14.68,5.5,-1.83,3.67,0,0,10.09,29.56,27.02,2.54,0,8.48,74.81,5.21,9.97,80.24,3.99,Majority White,Majority White,No
Bridgeview/Greenlawn,11158,5,3273,25,18,3173,6,6,0,5,40,8616,10,2660,54,24,2510,5,6,1,9,51,2504,17,17,2424,6,6,0,3,32,769,8,1,750,0,0,0,2,8,1566,1232,334,20,2077,31,21,1967,3,2,1,8,45,583,24,3,544,1,4,0,1,6,1382,1043,339,23,-22.78,100,-18.73,116,33.33,-20.9,-16.67,0,Inf,80,27.5,-17.05,82.35,23.53,-18.85,-50,-66.67,Inf,166.67,40.62,-24.19,200,200,-27.47,Inf,Inf,NA,-50,-25,-11.75,-15.34,1.5,15,-77.67,0.15,0.89,0.18,-20.26,-0.03,0,0.03,0.12,0.34,0.56,0.16,-18.25,-0.12,-0.16,0.04,0.2,0.52,-24.19,2.08,0.26,-26.79,0.13,0.52,0,-0.13,-0.26,-5.62,-5.77,0.15,0.09,2.03,0.9,94.36,0.76,0.55,96.94,Majority Black,Majority Black,No
Broadway East,36822,24,4436,40,81,4237,10,10,1,1,56,27211,46,3311,116,74,2997,6,22,0,8,88,3227,23,64,3096,5,10,1,0,27,1209,17,17,1141,4,0,0,1,29,2482,1551,931,99,2553,80,66,2323,5,20,0,5,54,758,37,8,673,1,2,0,3,35,1857,1311,547,76,-26.1,91.67,-25.36,190,-8.64,-29.27,-40,120,-100,700,57.14,-20.89,247.83,3.12,-24.97,0,100,-100,Inf,100,-37.3,117.65,-52.94,-41.02,-75,Inf,NA,200,20.69,-25.18,-15.47,-41.25,-23.23,-216.66,0.5,1.71,-0.16,-27.95,-0.09,0.27,-0.02,0.16,0.72,1.77,0.06,-23.95,0,0.31,-0.03,0.15,0.84,-37.3,1.65,-0.74,-38.71,-0.25,0.17,0,0.17,0.5,-14.09,-5.41,-8.66,-0.52,3.5,2.23,90.52,0.9,1.83,95.51,Majority Black,Majority Black,No
Broening Manor,30,1,117,24,66,19,2,2,0,0,3,32,2,123,54,43,19,1,2,0,1,4,94,17,58,14,1,2,0,0,1,23,8,8,5,0,1,0,0,1,50,47,4,0,93,35,38,15,1,1,0,0,3,30,19,5,4,0,0,0,0,1,50,46,4,0,6.67,100,5.13,125,-34.85,0,-50,0,NA,Inf,33.33,-1.06,105.88,-34.48,7.14,0,-50,NA,NA,200,30.43,137.5,-37.5,-20,NA,-100,NA,NA,0,0,-2.13,0,NA,1.71,0.85,25.64,-19.66,0,-0.85,0,0,0.85,0.85,19.15,-21.28,1.06,0,-1.06,0,0,2.13,30.43,47.83,-13.04,-4.35,0,-4.35,0,0,0,0,-0.85,0,0,43.9,34.96,15.45,20.51,56.41,16.24,Majority Minority,Majority White,Yes
Brooklyn,24952,115,8271,960,3698,3124,36,122,2,16,313,23760,131,7859,2315,2153,2770,33,134,1,42,411,5793,654,2952,1938,23,98,2,6,120,2478,306,747,1185,13,23,0,10,193,3602,2923,679,35,5345,1389,1729,1842,27,107,0,22,229,2514,926,423,929,6,28,1,20,182,3242,2634,607,35,-4.78,13.91,-4.98,141.15,-41.78,-11.33,-8.33,9.84,-50,162.5,31.31,-7.73,112.39,-41.43,-4.95,17.39,9.18,-100,266.67,90.83,1.45,202.61,-43.37,-21.6,-53.85,21.74,Inf,100,-5.7,-9.99,-9.89,-10.6,0,-14.41,0.19,16.38,-18.68,-4.28,-0.04,0.15,-0.01,0.31,1.18,12.69,-21.11,-1.66,0.07,0.16,-0.03,0.28,1.88,1.45,25.02,-13.08,-10.33,-0.28,0.2,0.04,0.4,-0.44,-4.35,-3.49,-0.87,0,29.46,27.4,35.25,11.61,44.71,37.77,Majority Minority,Majority Minority,No
Burleith-Leighton,934,2,346,1,3,333,1,0,0,2,6,887,3,329,7,7,303,0,2,1,1,9,278,1,3,268,1,0,0,1,4,68,0,0,65,0,0,0,1,2,169,152,17,2,268,4,6,249,0,2,0,0,7,61,3,1,54,0,0,0,0,2,193,165,28,3,-5.03,50,-4.91,600,133.33,-9.01,-100,Inf,Inf,-50,50,-3.6,300,100,-7.09,-100,Inf,NA,-100,75,-10.29,Inf,Inf,-16.92,NA,NA,NA,-100,0,14.2,8.55,64.71,50,-13.58,0.29,1.73,1.16,-8.67,-0.29,0.58,0.29,-0.29,0.87,1.08,1.08,-6.83,-0.36,0.72,0,-0.36,1.08,-10.29,4.41,1.47,-16.18,0,0,0,-1.47,0,6.94,3.76,3.18,0.29,2.13,2.13,92.1,0.29,0.87,96.24,Majority Black,Majority Black,No
Butcher's Hill,26311,50,1795,206,1055,430,14,52,1,3,33,28005,58,1950,257,1089,380,5,112,0,13,93,1544,158,971,332,13,48,1,2,19,251,48,84,99,2,4,0,1,13,1012,832,180,19,1653,182,988,297,5,105,0,10,67,297,76,101,83,1,7,0,3,26,1044,900,144,14,6.44,16,8.64,24.76,3.22,-11.63,-64.29,115.38,-100,333.33,181.82,7.06,15.19,1.75,-10.54,-61.54,118.75,-100,400,252.63,18.33,58.33,20.24,-16.16,-50,75,NA,200,100,3.16,8.17,-20,-26.32,94.37,0.45,2.84,1.89,-2.79,-0.5,3.34,-0.06,0.56,3.34,1.55,1.1,-2.27,-0.52,3.69,-0.06,0.52,3.11,18.33,11.16,6.77,-6.37,-0.4,1.2,0,0.8,5.18,1.78,3.79,-2.01,-0.28,13.18,55.85,19.49,11.48,58.77,23.96,Majority White,Majority White,No
Callaway-Garrison,2969,2,1812,18,25,1742,5,5,0,3,15,2632,6,1606,45,39,1459,6,9,1,5,42,1418,13,23,1361,4,5,0,2,11,394,5,2,380,1,0,0,1,5,816,693,123,5,1288,30,36,1177,6,8,1,4,28,319,15,4,282,1,2,0,1,14,745,641,104,5,-11.35,200,-11.37,150,56,-16.25,20,80,Inf,66.67,180,-9.17,130.77,56.52,-13.52,50,60,Inf,100,154.55,-19.04,200,100,-25.79,0,Inf,NA,0,180,-8.7,-7.5,-15.45,0,-18.6,0.22,1.49,0.77,-15.62,0.06,0.22,0.06,0.11,1.49,1.2,0.92,-12.98,0.14,0.21,0.07,0.14,1.2,-19.04,2.54,0.51,-24.87,0,0.51,0,0,2.28,-3.92,-2.87,-1.05,0,2.8,2.43,90.85,0.99,1.38,96.14,Majority Black,Majority Black,No
Cameron Village,2212,6,1066,17,115,905,4,7,0,1,17,2039,7,983,18,105,806,1,11,0,3,39,819,12,100,687,4,5,0,1,11,247,5,15,218,0,2,0,0,6,476,424,52,2,786,12,90,644,0,11,0,3,26,197,5,15,163,0,0,0,0,13,467,416,52,2,-7.82,16.67,-7.79,5.88,-8.7,-10.94,-75,57.14,NA,200,129.41,-4.03,0,-10,-6.26,-100,120,NA,200,136.36,-20.24,0,0,-25.23,NA,-100,NA,NA,116.67,-1.89,-1.89,0,0,-16.23,0.09,0.09,-0.94,-9.29,-0.28,0.38,0,0.19,2.06,0,-1.22,-5.25,-0.49,0.73,0,0.24,1.83,-20.24,0,0,-22.27,0,-0.81,0,0,2.83,-0.84,-0.75,0,0,1.83,10.68,81.99,1.59,10.79,84.9,Majority Black,Majority Black,No
Canton,55497,85,7368,515,6127,351,29,214,5,12,115,59727,104,7967,604,6281,344,24,364,1,36,312,6728,399,5744,280,22,197,4,9,73,640,115,383,71,7,18,1,3,42,4259,3731,528,36,7195,476,5795,304,23,334,1,26,236,772,128,486,40,1,30,0,10,77,4527,4064,463,29,7.62,22.35,8.13,17.28,2.51,-1.99,-17.24,70.09,-80,200,171.3,6.94,19.3,0.89,8.57,4.55,69.54,-75,188.89,223.29,20.62,11.3,26.89,-43.66,-85.71,66.67,-100,233.33,83.33,6.29,8.93,-12.31,-19.44,57.41,0.26,1.21,2.09,-0.1,-0.07,2.04,-0.05,0.33,2.67,1.14,0.76,0.36,0.01,2.04,-0.04,0.25,2.42,20.62,2.03,16.09,-4.84,-0.94,1.88,-0.16,1.09,5.47,3.64,4.52,-0.88,-0.1,7.58,78.84,4.32,6.99,83.16,4.76,Majority White,Majority White,No
Canton Industrial Area,6719,58,3342,814,1964,393,38,64,3,5,62,9547,64,4198,1500,1911,459,17,145,1,19,145,2728,573,1753,279,29,52,1,3,37,614,240,211,113,9,12,1,2,25,1491,1337,154,12,3327,984,1712,369,15,132,1,9,104,872,516,199,91,2,13,0,10,41,1893,1711,182,10,42.09,10.34,25.61,84.28,-2.7,16.79,-55.26,126.56,-66.67,280,133.87,21.96,71.73,-2.34,32.26,-48.28,153.85,0,200,181.08,42.02,115,-5.69,-19.47,-77.78,8.33,-100,400,64,26.96,27.97,18.18,-16.67,84.62,0.18,20.53,-1.59,1.97,-0.63,2.42,-0.06,0.42,2.48,15.07,-1.5,3.3,-0.51,2.93,0,0.22,2.46,42.02,44.95,-1.95,-3.58,-1.14,0.16,-0.16,1.3,2.61,12.03,11.19,0.84,-0.06,35.73,45.52,10.93,24.36,58.77,11.76,Majority Minority,Majority White,Yes
CARE,12676,37,1122,96,270,700,10,30,1,1,14,14113,47,1317,187,364,611,6,87,0,12,50,897,73,243,534,9,27,1,1,9,225,23,28,166,1,2,0,0,6,627,451,175,24,1072,133,332,483,5,80,0,8,32,245,55,32,128,0,7,0,4,18,684,586,98,12,11.34,27.03,17.38,94.79,34.81,-12.71,-40,190,-100,1100,257.14,19.51,82.19,36.63,-9.55,-44.44,196.3,-100,700,255.56,8.89,139.13,14.29,-22.89,-100,250,NA,Inf,200,9.09,29.93,-44,-50,128.07,0.89,8.11,8.38,-7.93,-0.36,5.08,-0.09,0.98,3.21,6.69,9.92,-5.69,-0.45,5.91,-0.11,0.78,2.56,8.89,14.22,1.78,-16.89,-0.44,2.22,0,1.78,5.33,5.08,12.03,-6.86,-1.07,14.2,27.64,46.39,8.56,24.06,62.39,Majority Minority,Majority Black,Yes
Carroll-South Hilton,2865,31,1915,43,486,1340,4,13,0,2,27,2437,37,1634,122,317,1073,6,28,0,9,79,1427,29,392,974,4,10,0,2,15,488,14,94,365,0,3,0,0,12,846,710,136,11,1244,86,267,807,5,23,0,4,52,390,35,50,266,1,5,0,6,27,768,610,157,14,-14.94,19.35,-14.67,183.72,-34.77,-19.93,50,115.38,NA,350,192.59,-12.82,196.55,-31.89,-17.15,25,130,NA,100,246.67,-20.08,150,-46.81,-27.12,Inf,66.67,NA,Inf,125,-9.22,-14.08,15.44,27.27,-22.35,0.31,4.13,-8.83,-13.94,0.1,0.78,0,0.37,2.72,3.99,-8.76,-11.7,0.07,0.91,0,0.14,2.59,-20.08,4.3,-9.02,-20.29,0.2,0.41,0,1.23,3.07,-4.07,-5.22,1.1,0.16,7.47,19.4,65.67,2.25,25.38,69.97,Majority Black,Majority Black,No
Carroll - Camden Industrial Area,4095,55,2606,90,1007,1305,9,120,0,9,65,3893,60,2434,157,722,1276,8,132,1,17,122,2043,67,881,947,8,102,0,3,35,563,23,126,358,1,18,0,6,31,1367,1073,294,21,1994,110,655,1006,8,119,1,10,85,440,47,67,269,0,13,0,7,37,1329,1084,245,18,-4.93,9.09,-6.6,74.44,-28.3,-2.22,-11.11,10,Inf,88.89,87.69,-2.4,64.18,-25.65,6.23,0,16.67,Inf,233.33,142.86,-21.85,104.35,-46.83,-24.86,-100,-27.78,NA,16.67,19.35,-2.78,1.03,-16.67,-14.29,-7.75,0.19,2.57,-10.94,-1.11,-0.04,0.46,0.04,0.31,2.19,2.1,-11.06,2.89,0,0.83,0.05,0.34,2.45,-21.85,4.26,-10.48,-15.81,-0.18,-0.89,0,0.18,1.07,-1.46,0.42,-1.88,-0.12,6.45,29.66,52.42,3.45,38.64,50.08,Majority Black,Majority Black,No
Carroll Park,1369,23,1261,49,496,593,4,85,0,4,31,1207,24,1112,61,314,579,1,87,0,8,64,975,38,421,422,3,71,0,2,18,287,11,74,170,1,15,0,2,14,634,490,144,8,900,39,277,455,1,78,0,6,45,212,22,37,124,0,9,0,2,19,620,500,120,7,-11.83,4.35,-11.82,24.49,-36.69,-2.36,-75,2.35,NA,100,106.45,-7.69,2.63,-34.2,7.82,-66.67,9.86,NA,200,150,-26.13,100,-50,-27.06,-100,-40,NA,0,35.71,-2.21,2.04,-16.67,-12.5,-12.85,0.08,0.95,-14.43,-1.11,-0.24,0.16,0,0.32,2.62,0.1,-14.77,3.38,-0.21,0.72,0,0.41,2.77,-26.13,3.83,-12.89,-16.03,-0.35,-2.09,0,0,1.74,-1.11,0.79,-1.9,-0.08,5.49,28.24,52.07,3.89,39.33,47.03,Majority Black,Majority Minority,Yes
